,abstract,affiliation,authors,paper_type,subject,title
38,"Audio is interdisciplinary in nature, connecting the disciplines of music, radio, broadcasting, film, science, liberal and fine arts. Audio students benefit from a wide, multi-disciplined curricular approach. Towson University’s Radio/Audio concentration in the Electronic Media and Film department has evolved to cover a range of topics and disciplines to better prepare students for a constantly changing professional environment.","['Towson University, Towson, MD, USA']","['Lankford, Elsa', ' Schwartz, Adam']",Talk,Audio Education,Case Study: An Interdisciplinary Audio Curriculum
39,"As part of the bigger EU project MONICA (Horizon2020) a local quiet zone system is being developed. This system provides a zone of quiet close to loud outdoor concerts in order to support communications or minimize the noise exposure of staff. Because the noise sources are the loudspeakers of the venue’s PA system an ideal reference signal can be obtained from the sound engineer’s mixing console, which can be used to apply methods of feedforward active noise control. This paper presents a real time application of the multichannel filtered reference least mean square algorithm (MCFxLMS), shows how it has been designed, implemented and tested under laboratory conditions.","['Technical University of Denmark, Kgs. Lyngby, Denmark']","['Plewe, Daniel', ' Agerkvist, Finn T.', ' Brunskog, Jonas']",Talk,Acoustics and Live Sound,"A Quiet Zone System, Optimized For Large Outdoor Events, Based on Multichannel FxLMS ANC"
40,"This paper introduces a low-cost, simple structure, and high-convenience 3D microphone positioning system for scanning acoustic field of sound sources. For the inherent errors caused by motors, mechanical fluctuations, and string deformations this work describes an anti-error method based on experimentally measured data to eliminate the corresponding effect. The method can determine a weighting strategy for every measured data and could be extended to any scanning system.","['Nanjing University, Nanjing, China', ' Rensselaer Polytechnic Institute, Troy, NY, USA(See document for exact affiliation information.)']","['Shen, Yuchen', ' Liu, Ziyun', ' Shen, Yong', ' Xiang, Ning']",Poster,Recording and Production,Microphone Positions in Acoustic Field Reconstruction: Robustness Analysis and Optimization
41,"We present a perceptual evaluation of ?at-panel loudspeakers derived from anechoic amplitude response measurements. Seventy measurements were used to formulate frequency response curves for each loudspeaker characterizing the effects of listener position and in-room reflections. A model developed by Olive [1] was applied to the response curves to predict a preference rating for each loudspeaker. A commercial flat-panel speaker and a flat-panel speaker with a modal crossover network enabled/disabled were measured along with a conventional speaker. The modal crossover speaker scored over 10 points higher than the other flat-panel speakers and displayed a smooth low-frequency response. For flat-panel loudspeakers to produce preference ratings comparable with conventional speakers, structural improvements must be made to reduce the narrow band deviation at high-frequencies.","['University of Rochester, Rochester, NY, USA', ' University of Pittsburgh, Pittsburgh, PA, USA(See document for exact affiliation information.)']","['Heilemann, Michael', ' Anderson, David', ' Roessner, Stephen', ' Bocko, Mark F.']",Talk,Applications in Audio,Quantifying Listener Preference of Flat-Panel Loudspeakers
42,"A vast majority of drums used in music have round membranes. Sound produced by such an instrument is non-harmonic, so one cannot perceive its pitch clearly. The paper aims to present possibilities of fusing additive synthesis and multi-objective optimization in order to find the relatively simple shape for which a membrane could produce harmonic sound. The proposed approach is based on Multi-Objective Particle Swarm Optimization and uses an original shape parametrization method based on Fourier series. Harmonicity of a drum was assessed based on additive synthesis using solutions of two-dimensional Helmholtz equation on irregular domains by means of the ?nite difference method.","['AGH University of Science and Technology, Kraków, Poland']","['Szwajcowski, Adam', ' Pilch, Adam']",Talk,Applications in Audio,Harmonic Drum Design Based on Multi-Objective Shape Optimization
43,"The purpose of this study was to investigate preexisting algorithms for building an upmixing algorithm that converts a stereo signal to 5.1 and 9.1 multichannel audio formats. Using three algorithms (the passive surround decoding method, the Least Mean Squares algorithm, the adaptive panning algorithm), a stereo audio signal was upmixed to 5.1 and 9.1 in Max. The Max patch provides a GUI in which listeners can select one of the upmixing algorithms and control EQ during playback. Perceptual Band Allocation (PBA) is applied for converting the upmixed 5.1 channel audio to 9.1 that contains four height channels (top front left, top front right, top back left, top back right). A subjective listening test was conducted in New York University’s MARL Research Lab. LMS algorithm was found to provide more natural and spatial sounds than the other two algorithms. The passive surround decoding method and the adaptive panning algorithm were found to show similar characteristics in terms of low frequency and spaciousness.","['New York University, New York, NY, USA']","['Kim, Sungsoo']",Talk,Recording and Production,Subjective Evaluation of Stereo-9.1 Upmixing Algorithms Using Perceptual Band Allocation
44,"The authors developed a 4-pi sampling reverberator, named “VSVerb,” which restores a 4-pi reverberant field by using information of dominant reflections that are captured in a target space. The timings and amplitudes of reflections are obtained from the analyses results of the sound intensities that are measured at the site in orthogonal three directions. The generated reverberation provides high S/N performance and enables to adjust various acoustic parameters with no additional measurements. These advantages provide the VSVerb with high affinity with post-production works. In order to enhance its affinity with object-based production schemes, this manuscript proposes a practical method to reduce a number of reflections from generated reverberations. The method, called “Source Reduction,” thins out reflections with less auditory deterioration.","['ONFUTURE Ltd., Tokyo, Japan', ' Kyushu University, Fukuoka, Japan', ' Evixar Inc., Tokyo, Japan(See document for exact affiliation information.)']","['Nakahara, Masataka', ' Omoto, Akira', ' Nagatomo, Yasuhiko']",Poster,Recording and Production,"Development of a 4-pi Sampling Reverberator, VSVerb—Source Reduction"
45,"Analog tape recorders introduce both linear distortions and nonlinear distortions to the audio. While the role of the AC bias and input levels on these distortions are well-understood by recording engineers, the impact on specific audio features, for example SNR, fatness, brightness, roughness, and harmonic count is less well described. In this study we examined with high granularity the impact and interactions of several AC bias and input levels on each of these features. We utilized the exponential swept sine acquisition and deconvolution technique to analyze a Scully 280. The results provide a detailed characterization on the tonal character introduced by the recorder. We conclude with level recommendations that could prove important for primary capture, effects processing, and digital emulation.","['University of Miami, Coral Gables, FL, USA']","['Mitchell, Thomas', ' Bennett, Christopher']",Talk,Recording and Production,Characterizing the Effect on Linear and Harmonic Distortions of AC Bias and Input Levels when Recording to Analog Tape
46,"This paper presents a perception based model for calculating the difference between two binaural signals to more accurately represent the perceptual relevance of spectral differences. A basic spectral difference calculation, the difference between the fast Fourier transforms (FFTs) of two audio signals, is not an accurate metric for human perception as the auditory system differs greatly in sensitivity depending on relative amplitude, frequency, and temporal aspects. The presented model is evaluated through objective measures and comparison to the results of a previously published listening test.","['University of York, York, UK']","['Armstrong, Calum', ' McKenzie, Thomas', ' Murphy, Damian', ' Kearney, Gavin']",Poster,Spatial Audio,A Perceptual Spectral Difference Model for Binaural Signals
47,"The low-frequency response of loudspeakers can be affected severely when placed in typical living rooms. Past investigations have focused on reducing the energy at the room resonances but not reducing seat-to-seat variation. Other works, using multiple loudspeakers, nullify the room modes or eliminate them with acoustic interference but are restricted by loudspeaker position and room geometry. In this work the loudspeaker position is not restricted and both frequency and time-domain methods are explored. Nonlinear optimization has been computed to improve the time response of the speaker in the room. Results have shown significant reduction of seat-to-seat variation. The time-frequency analysis reveals elimination of room resonances; producing a clear tight bass response.","['Samsung Research America, Valencia, CA, USA']","['Celestinos, Adrian', ' Brunet, Pascal', ' Kubota, Glenn']",Talk,Transducers,Non-Linear Optimization of Sound Field Control at Low Frequencies Produced by Loudspeakers in Rooms
48,"Modern audio codecs are used all over the world, reaching listeners with many different cultures and languages. This study investigates if and how cultural background influences the perception and preference of different audio coding artifacts, focusing on musical content. A subjective listening test was designed to directly compare different types of audio coding and was performed with Mandarin Chinese and German speaking listeners. Overall comparison showed largely consistent results, affirming the validity of the proposed test method. Differential comparison indicates preferences for certain artifacts in different listener groups, e.g., Chinese listeners tended to grade tonality mismatch higher and pre-echoes worse compared to German listeners, and musicians preferred bandwidth limitation over tonality mismatch when compared to non-musicians.","['International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS, Erlangen, Germany', ' Academy of Broadcasting Planning, SAPPRFT, Beijing, China(See document for exact affiliation information.)']","['Dick, Sascha', ' Zhang, Jiandong', ' Qin, Yili', ' Schinkel-Bielefeld, Nadja', ' Leschanowsky, Anna Katharina', ' Nagel, Frederik']",Talk,Perception,On the Influence of Cultural Differences on the Perception of Audio Coding Artifacts in Music
49,"We present two experiments to test listener preference for snare microphones within real-world recording scenarios. In the first experiment, listeners evaluated isolated recordings captured with 25 microphones. In the second experiment, listeners performed the same task with the addition of a kick drum and hi-hat as part of a performed drum sequence. Results indicate a prominent contrast between the highest and lowest rated microphones and that condensers were rated higher than other subsets tested. The preference for three microphones significantly changed between the two listening test conditions. A post-test survey revealed that most listeners compared high-frequency characteristics, which were measured using spectral features. A positive correlation was observed between test scores of cardioid microphones and the brightness feature.","['Birmingham City University, Birmingham, UK']","['Cheshire, Matthew', ' Hockman, Jason', ' Stables, Ryan']",Talk,Recording and Production,Microphone Comparison for Snare Drum Recording
50,"This paper presentation reviews research collected over the last decade to forecast best practices and goals for future educators and students. A collective mandate of Audio Recording and Production (ARP) educational programs is to provide students with foundational skills/theory to begin a career in the recording and entertainment industry. This paper draws connections between a series of surveys designed to elicit many perspectives of people involved in the education and application of ARP programs, educators in ARP programs, and students enrolled in ARP programs. The review will provide insight and actionable items for continued innovations in ARP educational institutions and the maintenance of a healthy relationship between Industry and ARP programs for employees, employers, educators, and students.","['Purdue School of Engineering and Technology, IUPUI, Indianapolis, IN, USA']","['Bielmeier, Doug']",Talk,Audio Education,Future Educational Goals for Audio Recording and Production (ARP) Programs: A Decade of Supporting Research
51,"This study investigates into the perceptual consequence of phase change in conventional magnitude-based source separation. A listening test was conducted, where the participants compared three different source separation scenarios, each with two phase retrieval cases: phase from the original mix or from the target source. The participants’ responses regarding their similarity to the reference showed that (1) the difference between the mix phase and the perfect target phase was perceivable in the majority of cases with some song-dependent exceptions, and (2) use of the mix phase degraded the perceived quality even in the case of perfect magnitude separation. The findings imply that there is room for perceptual improvement by attempting correct phase reconstruction in addition to achieving better magnitude-based separation.","['University of Surrey, Guildford, Surrey, UK']","['Kim, Chungeun', ' Grais, Emad M.', ' Mason, Russell', ' Plumbley, Mark D.']",Talk,Perception,Perception of Phase Changes in the Context of Musical Audio Source Separation
52,"Modeling box-shaped rooms with the image method requires many mathematical operations. The resulting reverberation effect is qualitatively flawed due to sweeping echoes and flutter. Efficiency is improved with the Fast Image Method, and sweeping echoes can be suppressed by using randomization. With both approaches, however, there is still a remaining problem with flutter. To address all of these issues, the Fast Image Method is modified to have both randomized image locations and increased symmetry. Additional optimizations are proposed and applied to the algorithm. The resulting audio effect has improved quality, and the computation time is dramatically reduced (by a factor usually exceeding 200) when compared to its ancestral Allen and Berkley algorithm. Some relevant perceptual considerations are also discussed.","['Wire Grind Audio, Sunnyvale, CA, USA']","['McGovern, Stephen']",Talk,Acoustics and Signal Processing,Reverberation Modeled as a Random Ensemble of Images
53,"Corporate clients have become focused on turning their digital platforms into human experiences. As designers, we must create unique solutions that speak to the corporation's brand identity. For the Lobby at Salesforce New York, the Salesforce “Trailblazer” brand is brought to life through a sonic landscape. A spatial audio system and custom composition is paired with immersive lighting and LED displays to create a multimedia entry into Salesforce. This 3D sound system installation: * Reinforces the Salesforce brand and is inspired by their events; * Employs multiple loudspeakers, network audio transport, and integrated control; * Makes use of audio samples arranged in a composition which utilizes an object-based spatialization engine; *Integrates seamlessly with architectural features and building systems.","['Arup, New York, NY, USA']","['Mayo, Alexander', ' Blum, Nathan', ' Roussel, Leonard']",Talk,Spatial Audio,Creative Approach to Audio in Corporate Brand Experiences
54,"In this work an extension to the pressure-matching beamforming method (PMM) that’s well-suited for transaural sound field control is presented. The method aims to improve performance at dark points, locations relative to the array where sound pressure is minimized; without producing noticeable artifacts at bright points, locations where acoustic interference is minimized. The method’s new performance priorities result from replacing Tikhonov regularization, which is conventionally used in PMM, with a purpose-built regularization strategy for solving the pseudoinverse of ill-conditioned matrices. Discussions of how this method’s formulation affects the filter design process and of performance comparisons between this and conventional PMM filters are included.","['University of California San Diego, San Diego, CA, USA']","['Puckette, Miller', ' Afghah, Tahereh', ' Patros, Elliot']",Talk,Signal Processing,A Pseudoinverse Technique for the Pressure-Matching Beamforming Method
55,"These days high-end loudspeakers are not seen with as much reverence as before, and the market is becoming dominated by their cheaper, more efficient counterparts. At the same time the demand for higher sound pressure levels is growing, which creates audible distortion problems. There are various DSP solutions for this, from tried-and-true fixed high pass filter, which, while getting rid of distortion, also cuts out a lot of bass frequencies, to complex new solutions based on physical models and adaptive signal processing. This paper proposes an approach that improves on the former while staying much less demanding than the latter in terms of computational power.","['ARKAMYS, Paris, France']","['Sinev, Daniil']",Talk,Transducers,Low-Complexity Non-Linear Loudspeaker Protection
56,"This article presents a prototype in-ear headphone system based on a previously disclosed piezoelectric MEMS driver technology (piezoMEMS). The centerpiece of the earphone is a 4 mm x 4 mm piezoMEMS chip loudspeaker that on its own achieves broadband sound pressure levels of up to 110 dB in an IEC 60318-4 ear simulator. A specifically designed enclosure allows for easy installation of the piezoMEMS driver and takes first steps in optimizing the acoustic performance. Furthermore, the system comprises a specially tailored amplifier as well as a dedicated signal processing concept. The article describes the ideas behind the system, discusses the particular challenges in designing the piezoMEMS earphone, shows measurement results, and, finally, discusses the vast opportunities for future research.","['Fraunhofer Institute for Digital Media Technology IDMT, Ilmenau, Germany', ' Fraunhofer Institute for Silicon Technology ISIT, Itzehoe, Germany(See document for exact affiliation information.)']","['Männchen, Andreas', ' Stoppel, Fabian', ' Beer, Daniel', ' Niekiel, Florian', ' Wagner, Bernhard']",Poster,Recording and Production,In-Ear Headphone System with Piezoelectric MEMs Driver
57,The purpose of this experiment was to examine the spatial accuracy of an environmental image created via binaural recording. Listeners were asked to localize 10 sources each positioned in one of four horizontal quadrants in three vertical planes. A binaural-recording was created in both anechoic and reverberant environments and subjective tests were conducted. The experiment yielded data for a comparative study of the effectiveness of the binaural recording in recreating the perceived source locations in “3-D” space around a specified listening position. ANOVA for overall accuracy and target hit/miss binomial measures in the free-field and with binaural recordings via headphone reproduction revealed areas of concern for future investigation as well as measures of relative accuracy for the experimental environments.,"['Belmont University, Nashville, TN, USA']","['Erichsen, Joseph', ' Bulla, Wesley']",Talk,Perception,Environment Replication with Binaural Recording: Three-Dimensional (3-D) Quadrant and Elevation Localization Accuracy
58,"Homes contain a plethora of devices for audio-visual content consumption, which intelligent reproduction systems can exploit to give the best possible experience. To investigate media device ownership in the home, media service-types usage and solitary versus group audio/audio-visual media consumption, a survey of UK households with 1102 respondents was undertaken. The results suggest that there is already significant ownership of wireless and smart loudspeakers, as well as other interconnected devices containing loudspeakers such as smartphones and tablets. Questions on group media consumption suggest that the majority of listeners spend more time consuming media with others than alone, demonstrating an opportunity for systems that can adapt to varying audience requirements within the same environment.","['University of Surrey, Guildford, Surrey, UK', ' BBC Research and Development, Salford, UK(See document for exact affiliation information.)']","['Cieciura, Craig', ' Mason, Russell', ' Coleman, Philip', ' Paradis, Matthew']",Poster,Spatial Audio,"Survey of Media Device Ownership, Media Service Usage, and Group Media Consumption in UK Households"
59,"The commonly adopted higher order ambisonics (HOA) mainly concentrates on far-field sources and neglects the rendering of near-field sources. Some studies have introduced near-field compensated HOA (NFC-HOA) to preserve the original spherical wave front curvature with lots of loudspeakers. It is worthy to combine the advantages of a physical reproduction approach with a hearing-related model approach to avoid using lots of loudspeakers in regular arrangement. In this paper an all-around virtual source panning method was proposed to improve driving functions of NFC-HOA with panning functions. In this way, a near-field sound source encoded in HOA can be rendered to arbitrary arrangement of only a few loudspeakers. Both the simulation and experimental results show the validity of the proposed method.","['Institute of Acoustics, Chinese Academy of Sciences, Beijing, China']","['Wei, Tong', ' Sang, Jinqiu', ' Zheng, Chengshi', ' Li, Xiaodong']",Talk,Spatial Audio,Near-Field Compensated Higher-Order Ambisonics Using a Virtual Source Panning Method
60,"To date the potential of 3D immersive and binaural sound technologies have not been applied to audio portraiture nor considered as a means of approaching and expressing indigenous identity. This paper looks at an artistic, practice-led study that utilizes the technology of 3D immersive and binaural sound technologies to create audio portraits and depictions of indigenous Maori women (wahine) from New Zealand/Aotearoa. This enquiry is part of my Ph.D. doctoral research that seeks to artistically interpret the identity and multiple-dimensionality of these women through sound. By multiple-dimensionality, I refer to historical, physical, cognitive, social, emotional, political, and spiritual dimensions of being.","['Auckland University of Technology, Auckland, New Zealand']","['Sheehan, Maree']",Talk,Applications in Audio,"Audio Portraiture —The Sound of Identity, an Indigenous Artistic Enquiry"
61,"An investigation was done into the threshold of noticeability for a continuous rate of change in intensity and how listener attention affects this threshold rate. Results suggest listener attention has a strong effect on the threshold. Much previous work has been done to try and find the intensity discrimination threshold of human hearing involving comparison of consecutive stimuli differing in intensity but not with a constant change over a long time for a continuous stimulus. Exposure to high intensity sounds over time can damage hearing, so the driving goal behind this investigation is to inform development of a mechanism that will lower the intensity of sound listeners are subjected to when consuming music while having minimal effect on perceived loudness.","['Stanford University, CCRMA, Stanford, CA, USA']","['Adler, Yuval']",Talk,Perception,Noticeable Rate of Continuous Change of Intensity for Naturalistic Music Listening in Attentive and Inattentive Audiences
62,"This paper examines what happens when a digital audio signal is measured with respect to a digital reference signal that was created based on a different clock. The resultant change in frequency and time depends on the degree of mismatch between clocks and may introduce a significant amount of distortion into the measurements. But the distortion is different from the types normally considered important in audio systems and may obscure other types of distortion, e.g., harmonic, IMD, and noise, that are more important to accurately assess. A difference in clocking essentially creates a difference in sample rates. Therefore, sample rate conversion methods can be used to mitigate the discrepancy. Although this approach is effective, it cannot be used when the sample rate difference is too small, it can be computationally intensive, and it cannot entirely eliminate the effects of a clocking difference. This paper describes a much simpler and more effective technique that requires minimal computation.","['Audio Precision, Beaverton, OR, USA']","['Martin, Mark', ' Datta, Jayant', ' Zhou, Xinhui']",Talk,Signal Processing,Measuring Audio when Clocks Differ
63,"As 3D audio becomes a prominent field of research in audio technology, researchers continue to develop reproduction methods that will best translate 3D recordings. Reproduction techniques have ranged from unique surround systems to 3D speakers such as the dodecahedron. However, these methods may be complex with its disadvantages. These systems tend to be configured for ambient or surround recordings. In this recent project, a new 3D speaker system was created not only for those surround recordings but also for individual sources. The speaker takes influence from the tetra-microphone structure. Testing for the radiation pattern has yet to be conducted. This project is an ongoing research and explores its use with different single-source recordings as well as creative “moving” audio.","['New York University, New York, NY, USA']","['Songmuang, Parichat']",Poster,Applications in Audio,A New Compact 3D Reproduction System: The Tetra-Speaker
64,"The individuality of head-related transfer functions (HRTFs) is a key issue for binaural synthesis. While, over the years, a lot of work has been accomplished to propose end-user-friendly solutions to HRTF personalization, it remains a challenge. In this article we establish a state-of-the-art of that work. We classify the various proposed methods, review their respective advantages and disadvantages, and, above all, methodically check if and how the perceptual validity of the resulting HRTFs was assessed.","['Centrale-Supélec, Rennes, France', ' 3D Sound Labs, Rennes, France(See document for exact affiliation information.)']","['Guezenoc, Corentin', ' Seguier, Renaud']",Talk,Spatial Audio,HRTF Individualization: A Survey
65,"All resistors generate white (Johnson-Nysquist) noise based on their value and temperature; they can also generate several other types of (excess) noise. The amount or characteristics of a resistor’s excess noise could be one factor contributing to variations in perceived sound quality. This research explores methods for measuring the Johnson-Nysquist and excess noise of different resistors with the hopes of quantifying the performance of the components under test. A methodology is proposed for evaluating the audibility of both Johnson-Nysquist and excess noise that requires no special measurement equipment, only a sound system with suitable computer and freely available software.","['Clockworks Signal Processing LLC, Andover, MA, USA', ' Tufts University, Medford, MA, USA(See document for exact affiliation information.)']","['LaMacchia, Brewster', ' Swanson, Bradford']",Poster,Applications in Audio,Measuring and Evaluating Excess Noise in Resistors
66,"The research project fast-music investigates the requirements of an infrastructure for 60 musicians of a conducted orchestra to do rehearsals via the public internet. Since a single server would not be able to handle the required amount of interleaved audio and video streams, process and distribute them again in a reasonable amount of time, a scalable cloud concept is more promising. The design of the realtime audio and video signal processing cloud, at the heart of a distributed live music session in the public internet, is operating on an Audio Video Bridging network segment. Such a realtime processing cloud requires a proper resource management for network resources. In this paper we present the concept for the processing cloud, evaluate on the resource management, and discuss a troubleshooting strategy for the stream reservation in Audio Video Bridging networks.","['Anhalt University of Applied Sciences, Köthen, Germany']","['Kuhr, Christoph', ' Carôt, Alexander']",Talk,Applications in Audio,Troubleshooting Resource Reservation in Audio Video Bridging Networks
67,"The EBU R128 / ITU-R BS.1770 specifications are widely followed in various areas of the audio industry and academic research. Different implementations exist in different programming languages with subtly differing design parameters. In this work we assess these implementations on their performance in terms of accuracy and functionality. As filter equations are notably absent from the standard, we reverse engineer the prescribed filter coefficients and offer more universal filter specifications. We also provide a simple implementation of the integrated loudness measure in JavaScript, MATLAB, and Python.","['Birmingham City University, Birmingham, UK']","['De Man, Brecht']",Talk,Perception,Evaluation of Implementations of the EBU R128 Loudness Measurement
68,"This paper addresses the problem of musical noise in transform-based audio codecs. This artifact occurs when encoding audio segments with a noise-like spectrum—at low bit rates where signal quantization results in significant zero-valued coefficients. Due to the quantization commonly used, bands containing several non-zero coefficients are quantized to only one or two, giving rise to a musical artifact. This has been identified in other codecs, such as in CELT/OPUS , where a special transform is used prior to quantization to remedy the problem. In this paper we provide a modified approach consisting of a Hadamard transform combined with an interleaving scheme. Simulation shows the proposed method has a lower complexity and yields improved perceptual scores as measured by PEAQ.","['XPERI/DTS, Calabasas, CA, USA']","['Nemer, Elias', ' Thompson, Jeff', ' Kalker, Ton']",Talk,Signal Processing,Reducing Musical Noise in Transform Based Audio Codecs
69,"There is a belief in horn driver design that if the resistive component of the input impedance of the diaphragm’s acoustical load is equal to the DC component of the voice coil’s electrical impedance, a maximum efficiency of 50% can be reached. This work shows that in reality, the compression driver’s real efficiency differs from the classical theory prediction. The discrepancy is explained by the fact that the driver’s output impedance and the acoustical loading impedance are different functions, not mere resistances. Additionally, the input electrical power and the output acoustical power are essentially integral functions of frequency and can be expressed by single numbers rather than frequency-dependent functions. Examples illustrating dependence of efficiency and sensitivity on various parameters are given.","['JBL/Harman Professional Solutions, Northridge, CA, USA']","['Voishvillo, Alexander', ' McLaughlin, Brian']",Talk,Transducers,Evaluation of Efficiency and Voltage Sensitivity in Horn Drivers
70,"In recent years an increase in the capture and production of ambisonic material has occurred as a result of companies such as YouTube and Facebook utilizing ambisonics for spatial audio playback. There is now a greater need for affordable higher order microphone arrays. This work details the development of a set of tools that can be used to simulate and evaluate such microphone arrays, The “Ambisonic Array Design Tool” for simulation and “Ambisonic Array Evaluation Tool” for evaluation. The microphone capsules’ position and directivity can be changed, with the effects on the synthesized spherical harmonics frequency and polar responses observed within the GUI. These scripts written in MatLab have been packaged within a GUI and will be available online.","['University of Derby, Derby, UK']","['Middlicott, Charles', ' Wiggins, Bruce']",Poster,Applications in Audio,Development of Ambisonic Microphone Design Tools—Part 1
71,"In a follow-up to AES-143 #9832, this experiment employed a novel method that altered subjects’ pinna and examined the effects of modifying salient spectral cues on time-based vertical-oriented precedence in raised, lowered, and diagonal sagittal and medial planes. As suggested in the prior study, outcomes confirm perceptual interference from acoustic patterns generated via lead-lag signal interaction. Results provide clear physical and psychophysical evidence that reliable elevation cues may be rendered ineffective by stimuli such as those used in typical precedence-based experiments. Outcomes here demonstrate the salient and powerful influence of spectral information during lead-lag precedence-oriented tasks and suggest that prior research, in particular that concerned with so-called “vertical” precedence, may have been erroneously influenced by simple--yet profound--acoustic comb-filtering.","['Belmont University, Nashville, TN, USA', ' University of Maryland, College Park, MD, USA(See document for exact affiliation information.)']","['Bulla, Wesley', ' Mayo, Paul']",Talk,Perception,"The Effect of Pinnae Cues on Lead-Signal Localization in Elevated, Lowered, and Diagonal Loudspeaker Configurations"
72,"To date there has been no easy straightforward way to model simple array configurations of point-sources such as CBT arrays for demonstration and learning purposes in AFMG’s simulation and support programs EASE, Focus 3, and GLLViewer. This paper describes a pair of free AFMG-supplied GLLs for creating point-source cluster and array-type configurations. Both GLLs can be used in AFMG’s EASE or the GLLViewer but only the array-type GLL can be used in EASE Focus 3. Although free to the end user, AFMG’s powerful 3D direct-sound sound reinforcement line-array simulation program EASE Focus 3 is funded when manufacturers provide licensed GLL (Generic Loudspeaker Library) data for their loudspeakers so that customers can model their own branded loudspeakers in Focus 3.","['DBK Associates and Labs, Bloomington, IN, USA', ' Presonus Audio Electronics-Worx Audio Technologies, Baton Rouge, LA, USA(See document for exact affiliation information.)']","['Keele, Jr., D. B. (Don)', ' Sarvis, Hugh']",Talk,Transducers,"Modeling Point-Source Loudspeaker Arrays in AFMG's EASE Focus 3, and GLLViewer Programs"
73,"In this paper a virtual sound source reproduction method is proposed using two circular loudspeaker arrays with rigid baffles. This study aims to reproduce virtual sources in front of, or outside the loudspeaker arrays, with each array considered as an infinite-length rigid cylinder with loudspeakers attached to its surface. Transfer functions that consider the reflection between the two arrays are introduced, and the appropriate reflection times to be used in the transfer function are discussed. Using the pressure-matching method and circular harmonic expansion, several methods are proposed and compared via computer simulation","['University of Electro-Communications, Chofu-shi, Tokyo, Japan']","['Ren, Yi', ' Haneda, Yoichi']",Talk,Spatial Audio,Virtual Source Reproduction Using Two Rigid Circular Loudspeaker Arrays
74,"Detection is usually carried out following the Neyman-Pearson criterion to maximize the probability of detection (true positives rate), maintaining the probability of false alarm (false positives rate) below a given threshold. When the classes are unbalanced, the performance cannot be measured just in terms of true positives and false positives rates, and new metrics must be introduced, such as Precision. “Anger detection” in Interactive Voice Response (IVR) systems is one application where precision is important. In this paper a cost function for features selection to maximize precision in anger detection applications is presented. The method has been proved with a real database obtained by recording calls managed by an IVR system, demonstrating its suitability.","['University of Alcalá, Alcalá de Henares, Madrid, Spain']","['Mohíno-Herranz, Inma', ' Llerena-Aguilar, Sr., Cosme', ' García-Gómez, Joaquín', ' Utrilla-Manso, Manuel', ' Rosa-Zurera, Manuel']",Talk,Applications in Audio,Precision Maximization in Anger Detection in Interactive Voice Response Systems
75,"This paper is concerned with music enhancement by removal of coding artifacts and recovery of acoustic characteristics that preserve the sound quality of the original music content. In order to achieve this, we propose a novel convolution neural network (CNN) architecture called FTD (Frequency-Time Dependent) CNN, which utilizes correlation and context information across spectral and temporal dependency for music signals. Experimental results show that both subjective and objective sound quality metrics are significantly improved. This unique way of applying a CNN to exploit global dependency across frequency bins may effectively restore information that is corrupted by coding artifacts in compressed music content.","['PDMI RAS, St. Petersburg, Russia', ' Samsung Electronics Co., Ltd., Seoul, Korea', ' Samsung Electronics R&D', ' Institute UK, Staines-Upon Thames, Surrey, UK(See document for exact affiliation information.)']","['Porov, Anton', ' Oh, Eunmi', ' Choo, Kihyun', ' Sung, Hosang', ' Jeong, Jonghoon', ' Osipov, Konstantin', ' Francois, Holly']",Talk,Signal Processing,Music Enhancement by a Novel CNN Architecture
76,"Acoustic applications utilize thin porous materials for a variety of reasons, the primary one being to provide an acoustic resistance. This resistance dampens acoustic modes, allowing the designer to control their behavior. However, to achieve consistent resistive damping requires a level of precision manufacturing not found in common materials. SAATI of Italy produces a broad range of specialty woven meshes for acoustic applications that achieve this precision through a highly controlled weaving process. Some understanding of the weaving process is helpful in guiding a designer’s choice of materials.","['SAATI, SPA, Appiano Gentile (C0), Italy']","['McIntosh, Jason']",Talk,Applications in Audio,Introduction to Acoustic Meshes in Audio Applications
77,"A software tool for subjective audio evaluation is presented. The tool helps to overcome the limits of the existing listening test tools by allowing DAW-based multichannel playback with required signal processing and enabling the use of novel test participant interfaces: mobile app, physical controller, and VR interface. Test preparation is done by importing audio samples into the spatial audio standard DAW and setting up the required signal processing plugins. The listening test tool triggers the playback of the desired audio samples inside the DAW, according to the participant’s choice. The tool described in this paper can be used for various perceptual audio tests, including evaluation of spatial audio codecs, virtual acoustics, and binaural rendering engines.","['University of York, York, UK']","['Rudzki, Tomasz', ' Murphy, Damian', ' Kearney, Gavin']",Poster,Recording and Production,A DAW-Based Interactive Tool for Perceptual Spatial Audio Evaluation
